naics_code,name,parent_sector,country_scope,weather_sensitive,fit_reason
238160,Roofing Contractors,Construction,"US,CA,UK,AU",true,Storm-driven urgency + owner-operated small shops + missed call lifecycle
238210,Electrical Contractors and Other Wiring Installation Contractors,Construction,"US,CA,UK,AU",false,Phone-heavy quote and dispatch workflow
238220,Plumbing Heating and Air-Conditioning Contractors,Construction,"US,CA,UK,AU",true,Emergency calls + appointment scheduling + storm-driven HVAC demand
238110,Poured Concrete Foundation and Structure Contractors,Construction,"US,CA,UK,AU",false,Quote-driven sales cycle owner-operated
238130,Framing Contractors,Construction,"US,CA,UK,AU",false,Quote follow-up automation fit
238140,Masonry Contractors,Construction,"US,CA,UK,AU",false,Quote-driven owner-operated
238150,Glass and Glazing Contractors,Construction,"US,CA,UK,AU",false,Quote and install scheduling
238170,Siding Contractors,Construction,"US,CA,UK,AU",true,Storm-driven exterior demand
238190,Other Foundation Structure and Building Exterior Contractors,Construction,"US,CA,UK,AU",false,Quote-driven owner-operated
238290,Other Building Equipment Contractors,Construction,"US,CA,UK,AU",false,Phone dispatch heavy
238310,Drywall and Insulation Contractors,Construction,"US,CA,UK,AU",false,Quote follow-up automation fit
238320,Painting and Wall Covering Contractors,Construction,"US,CA,UK,AU",false,Quote-heavy small operator
238330,Flooring Contractors,Construction,"US,CA,UK,AU",false,Quote-driven owner-operated
238340,Tile and Terrazzo Contractors,Construction,"US,CA,UK,AU",false,Quote-driven owner-operated
238350,Finish Carpentry Contractors,Construction,"US,CA,UK,AU",false,Quote-driven owner-operated
238390,Other Building Finishing Contractors,Construction,"US,CA,UK,AU",false,Quote-driven owner-operated
238910,Site Preparation Contractors,Construction,"US,CA,UK,AU",false,Quote-driven owner-operated
238990,All Other Specialty Trade Contractors,Construction,"US,CA,UK,AU",false,Phone-dispatch heavy
236115,New Single-Family Housing Construction (except For-Sale Builders),Construction,"US,CA,UK,AU",false,Long sales cycle benefits from follow-up automation
236118,Residential Remodelers,Construction,"US,CA,UK,AU",false,Quote follow-up + appointment automation
561730,Landscaping Services,Administrative Services,"US,CA,UK,AU",true,Seasonal demand + recurring service appointments
561720,Janitorial Services,Administrative Services,"US,CA,UK,AU",false,Recurring contracts + quote automation
561740,Carpet and Upholstery Cleaning Services,Administrative Services,"US,CA,UK,AU",false,Appointment-driven small operator
561790,Other Services to Buildings and Dwellings,Administrative Services,"US,CA,UK,AU",false,Phone-heavy small operator
562910,Remediation Services,Administrative Services,"US,CA,UK,AU",true,Emergency response after storms/floods
562998,All Other Miscellaneous Waste Management Services,Administrative Services,"US,CA,UK,AU",false,Phone-dispatch operator
561622,Locksmiths,Administrative Services,"US,CA,UK,AU",false,Emergency call response + missed call recovery
561621,Security Systems Services (except Locksmiths),Administrative Services,"US,CA,UK,AU",false,Appointment-driven sales cycle
811111,General Automotive Repair,Repair and Maintenance,"US,CA,UK,AU",false,Appointment booking + reminder automation
