# Curated shortlist of high-fit SMB niches for Lead Engine. Source: 2022 NAICS 6-digit codes from census.gov. weather_sensitive=true means storm triggers should fire for this niche.
naics_code,name,parent_sector,weather_sensitive
236115,New Single-Family Housing Construction (except For-Sale Builders),Construction,true
236116,New Multifamily Housing Construction (except For-Sale Builders),Construction,true
236117,New Housing For-Sale Builders,Construction,true
236118,Residential Remodelers,Construction,true
236210,Industrial Building Construction,Construction,true
236220,Commercial and Institutional Building Construction,Construction,true
237110,Water and Sewer Line and Related Structures Construction,Construction,true
237120,Oil and Gas Pipeline and Related Structures Construction,Construction,true
237130,Power and Communication Line and Related Structures Construction,Construction,true
237210,Land Subdivision,Construction,true
237310,"Highway, Street, and Bridge Construction",Construction,true
237990,Other Heavy and Civil Engineering Construction,Construction,true
238110,Poured Concrete Foundation and Structure Contractors,Construction,true
238120,Structural Steel and Precast Concrete Contractors,Construction,true
238130,Framing Contractors,Construction,true
238140,Masonry Contractors,Construction,true
238150,Glass and Glazing Contractors,Construction,true
238160,Roofing Contractors,Construction,true
238170,Siding Contractors,Construction,true
238190,"Other Foundation, Structure, and Building Exterior Contractors",Construction,true
238210,Electrical Contractors and Other Wiring Installation Contractors,Construction,true
238220,"Plumbing, Heating, and Air-Conditioning Contractors",Construction,true
238290,Other Building Equipment Contractors,Construction,true
238310,Drywall and Insulation Contractors,Construction,true
238320,Painting and Wall Covering Contractors,Construction,true
238330,Flooring Contractors,Construction,true
238340,Tile and Terrazzo Contractors,Construction,true
238350,Finish Carpentry Contractors,Construction,true
238390,Other Building Finishing Contractors,Construction,true
238910,Site Preparation Contractors,Construction,true
238990,All Other Specialty Trade Contractors,Construction,true
561730,Landscaping Services,Construction,true
561790,Other Services to Buildings and Dwellings,Construction,true
561710,Exterminating and Pest Control Services,Construction,false
561720,Janitorial Services,Construction,false
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",Construction,true
423390,Other Construction Material Merchant Wholesalers,Construction,false
444110,Home Centers,Construction,false
444120,Paint and Wallpaper Stores,Construction,false
444130,Hardware Stores,Construction,false
621111,Offices of Physicians (except Mental Health Specialists),Health Care,false
621112,"Offices of Physicians, Mental Health Specialists",Health Care,false
